f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,label,confidence,file_path
0.6625,0.6375,0.0,0.6625,0.6375,0.0,0.7375,0.4875,0.0,0.575,0.4425,0.0,0.755,0.435,0.0,0.5925,0.3625,0.0,0.7025,0.3075,0.0,0.8125,0.34,0.0,0.8975,0.3425,0.0,0.295,0.4125,0.0,0.42,0.27,0.0,0.3175,0.3125,0.0,0.25,0.3175,0.0,0.425,0.165,0.0,0.2275,0.22,0.0,0.6625,0.6375,0.0,0.435,0.5975,0.0,0.435,0.5975,0.0,0.8975,0.3425,0.0,0.3,0.2925,0.0,0.295,0.4125,0.0,0.2226263686089318,0.37716044331292214,0.5220692003939708,0.23098971838590562,0.4309074726666967,0.16988967008032002,0.6479824457498828,0.33559648389099667,0.23200215516240366,0.16988967008032002,0.5184893923697957,0.3588958762649691,0.4605499430029278,0.09250000000000003,-0.20249999999999996,0.235,-0.29499999999999993,-0.4125,-0.31999999999999995,-0.22749999999999998,-0.039999999999999925,-0.3675,-0.22499999999999998,1.4285714285714286,0,1,0,0,0,1,1,n,1.4285714285714286,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/n/color_13_0206 (4).png
0.445,0.7425,0.0,0.445,0.7425,0.0,0.395,0.605,0.0,0.46,0.585,0.0,0.4425,0.5375,0.0,0.37,0.5475,0.0,0.31,0.5825,0.0,0.545,0.505,0.0,0.465,0.47,0.0,0.2875,0.515,0.0,0.385,0.47,0.0,0.3125,0.475,0.0,0.385,0.435,0.0,0.305,0.405,0.0,0.2825,0.3325,0.0,0.255,0.2425,0.0,0.2375,0.1625,0.0,0.445,0.7425,0.0,0.3475,0.735,0.0,0.3475,0.735,0.0,0.395,0.605,0.0,0.20501524333570914,0.27323295921246404,0.3132989786130814,0.6160002029220446,0.14630874888399537,0.07115124735378854,0.0873212459828649,0.3098588388282638,0.46969404935553527,0.07115124735378854,0.11752659273543156,0.42737571292716203,0.08253787009609588,-0.0025000000000000022,-0.20500000000000007,0.020000000000000018,-0.2725000000000001,-0.06,-0.30750000000000005,-0.20750000000000002,-0.5800000000000001,-0.04999999999999999,-0.13750000000000007,1.4285714285714286,0,1,0,1,0,0,1,l,1.4285714285714286,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/l/color_11_0024 (2).png
0.5075,0.8775,0.0,0.5075,0.8775,0.0,0.58,0.55,0.0,0.6925,0.59,0.0,0.4675,0.535,0.0,0.35,0.5525,0.0,0.735,0.47,0.0,0.62,0.4,0.0,0.3275,0.415,0.0,0.485,0.37,0.0,0.755,0.385,0.0,0.635,0.2975,0.0,0.48,0.265,0.0,0.7675,0.3075,0.0,0.6475,0.2125,0.0,0.4775,0.1825,0.0,0.5075,0.8775,0.0,0.34,0.8225,0.0,0.34,0.8225,0.0,0.6925,0.59,0.0,0.6925,0.59,0.0,0.34482785560334295,0.4962925044769465,0.6131170361358425,0.0,0.34187899906253383,0.1843908891458578,0.21390710600632226,0.6131170361358425,0.34187899906253383,0.1843908891458578,0.27028919697242804,0.34482785560334295,0.23162469643800934,-0.039999999999999925,-0.3424999999999999,-0.17999999999999994,-0.46249999999999997,-0.02749999999999997,-0.6124999999999999,0.0,0.0,0.18500000000000005,-0.2875,1.2857142857142858,0,1,0,0,0,0,1,f,1.2857142857142858,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/f/color_5_0490 (3).png
0.515,0.8725,0.0,0.515,0.8725,0.0,0.4775,0.6025,0.0,0.32,0.6175,0.0,0.485,0.535,0.0,0.63,0.5475,0.0,0.32,0.56,0.0,0.6325,0.475,0.0,0.48,0.4575,0.0,0.3125,0.4975,0.0,0.655,0.43,0.0,0.14,0.5575,0.0,0.3725,0.3875,0.0,0.2175,0.46,0.0,0.8125,0.4325,0.0,0.8125,0.4325,0.0,0.535,0.3375,0.0,0.62,0.34,0.0,0.62,0.34,0.0,0.6225,0.25,0.0,0.5975,0.1375,0.0,0.3388307099422955,0.41647328845917597,0.5055009891187158,0.5353737012592232,0.7396156096243509,0.07766112283504535,0.12828191610667497,0.17001838135919306,0.20953818267800264,0.07766112283504535,0.18550606459089147,0.20373082731879338,0.4131131806176124,-0.030000000000000027,-0.3375,-0.03500000000000003,-0.41500000000000004,-0.14250000000000002,-0.48500000000000004,0.020000000000000018,-0.535,0.08250000000000002,-0.7350000000000001,1.5714285714285714,0,1,0,0,0,0,1,1,1.5714285714285714,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/1/hand2_1_bot_seg_4_cropped.png
0.465,0.8825,0.0,0.5975,0.6425,0.0,0.4725,0.5375,0.0,0.355,0.49,0.0,0.465,0.8825,0.0,0.5825,0.7975,0.0,0.3275,0.4675,0.0,0.3025,0.4375,0.0,0.2825,0.43,0.0,0.3275,0.5375,0.0,0.515,0.2375,0.0,0.5125,0.1175,0.0,0.5175,0.0275,0.0,0.4075,0.4625,0.0,0.3575,0.2975,0.0,0.335,0.1775,0.0,0.3225,0.0825,0.0,0.6175,0.4425,0.0,0.7075,0.05,0.0,0.7075,0.05,0.0,0.7075,0.05,0.0,0.0,0.4879164887560165,0.8566103256440468,0.8125923024493894,0.8671000518971267,0.4879164887560165,0.4660807333499208,0.20260799589354805,0.3863693181400407,0.4879164887560165,0.8566103256440468,0.8125923024493894,0.8671000518971267,0.0,0.0,-0.18250000000000005,-0.45249999999999996,0.052499999999999936,-0.855,-0.14250000000000002,-0.7999999999999999,0.2425,-0.8324999999999999,0.9047619047619048,0,1,1,1,1,1,1,w,0.9047619047619048,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/w/hand2_w_dif_seg_3_cropped.jpeg
0.4175,0.5925,0.0,0.4175,0.5925,0.0,0.4175,0.33,0.0,0.37,0.3225,0.0,0.3325,0.3275,0.0,0.27,0.325,0.0,0.205,0.335,0.0,0.475,0.2275,0.0,0.155,0.325,0.0,0.3725,0.22,0.0,0.3,0.2175,0.0,0.2275,0.2375,0.0,0.26,0.185,0.0,0.185,0.2,0.0,0.0675,0.27,0.0,0.0675,0.27,0.0,0.125,0.2125,0.0,0.4175,0.5925,0.0,0.3625,0.2225,0.0,0.2875,0.53,0.0,0.2875,0.53,0.0,0.27829840100151493,0.37478327070455,0.4368781294594638,0.4795375376339166,0.14424371736751657,0.17751760476076733,0.17500000000000002,0.13777245733454854,0.3566686137018507,0.17751760476076733,0.15988276955319483,0.23723669614964715,0.20743975028909,-0.08499999999999996,-0.265,-0.26249999999999996,-0.2675,-0.15749999999999997,-0.40750000000000003,-0.2925,-0.38,-0.13,-0.0625,1.4761904761904763,0,1,1,0,0,1,1,a,1.4761904761904763,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/a/color_0_0123 (3).png
0.555,0.925,0.0,0.555,0.925,0.0,0.5925,0.7375,0.0,0.505,0.6775,0.0,0.6225,0.6775,0.0,0.55,0.5925,0.0,0.58,0.5525,0.0,0.75,0.6025,0.0,0.4325,0.5575,0.0,0.4325,0.5575,0.0,0.4,0.545,0.0,0.885,0.6775,0.0,0.685,0.4825,0.0,0.6,0.3675,0.0,0.395,0.3875,0.0,0.41,0.2825,0.0,0.5775,0.245,0.0,0.4375,0.19,0.0,0.58,0.1375,0.0,0.555,0.925,0.0,0.5925,0.7375,0.0,0.2565394706473061,0.3873790133706265,0.46120087814313626,0.6803721408170679,0.19121323175972943,0.22472205054244235,0.2634032080290596,0.2606961833245742,0.4927283734472778,0.22472205054244235,0.20477121379725227,0.43483473872265543,0.06708203932499375,0.0675,-0.24750000000000005,-0.12250000000000005,-0.36750000000000005,0.13,-0.44250000000000006,0.022499999999999964,-0.68,0.03749999999999998,-0.1875,1.4285714285714286,0,1,1,0,0,0,1,u,1.4285714285714286,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/u/color_20_0057 (4).png
0.4125,0.7725,0.0,0.4725,0.6575,0.0,0.4075,0.615,0.0,0.4125,0.7725,0.0,0.4125,0.7725,0.0,0.4625,0.7325,0.0,0.3575,0.6525,0.0,0.345,0.615,0.0,0.3275,0.5775,0.0,0.3675,0.5725,0.0,0.4125,0.45,0.0,0.4125,0.3825,0.0,0.4125,0.3275,0.0,0.4625,0.555,0.0,0.3425,0.4875,0.0,0.325,0.4275,0.0,0.3075,0.3725,0.0,0.415,0.5525,0.0,0.4825,0.4575,0.0,0.49,0.3975,0.0,0.4925,0.3475,0.0,0.0,0.2127204738618264,0.44499999999999995,0.4135516896350443,0.43246387132337427,0.2127204738618264,0.26405491853021784,0.11423659658795861,0.1866815470259447,0.2127204738618264,0.44499999999999995,0.4135516896350443,0.43246387132337427,0.0,0.0,-0.08499999999999996,-0.19499999999999995,0.0,-0.44499999999999995,-0.10499999999999998,-0.39999999999999997,0.08000000000000002,-0.425,0.9047619047619048,0,1,1,1,1,1,1,w,0.9047619047619048,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/w/W1602.jpg
0.4525,0.9175,0.0,0.6275,0.6375,0.0,0.5125,0.5425,0.0,0.3675,0.545,0.0,0.4525,0.9175,0.0,0.5875,0.8075,0.0,0.1225,0.4425,0.0,0.06,0.3675,0.0,0.0175,0.2775,0.0,0.2175,0.5675,0.0,0.425,0.4875,0.0,0.4125,0.4475,0.0,0.3925,0.3025,0.0,0.3125,0.5,0.0,0.3325,0.4975,0.0,0.3675,0.5925,0.0,0.2775,0.3675,0.0,0.5425,0.4475,0.0,0.5175,0.495,0.0,0.525,0.3325,0.0,0.5225,0.2875,0.0,0.0,0.7738378383098101,0.6179198977213793,0.5771698190307598,0.6338769596696192,0.7738378383098101,0.37583240945932267,0.13209844813622906,0.2577304793771974,0.7738378383098101,0.6179198977213793,0.5771698190307598,0.6338769596696192,0.0,0.0,-0.435,-0.6399999999999999,-0.06,-0.615,-0.175,-0.55,0.06999999999999995,-0.63,0.9523809523809523,0,1,1,1,1,1,1,i,0.9523809523809523,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/i/I1599.jpg
0.505,0.71,0.0,0.505,0.71,0.0,0.5275,0.4675,0.0,0.5375,0.3875,0.0,0.405,0.3725,0.0,0.5475,0.3375,0.0,0.725,0.3875,0.0,0.3775,0.3175,0.0,0.62,0.295,0.0,0.21,0.325,0.0,0.15,0.34,0.0,0.2675,0.235,0.0,0.51,0.1725,0.0,0.3225,0.15,0.0,0.1325,0.25,0.0,0.1525,0.185,0.0,0.505,0.71,0.0,0.2725,0.6175,0.0,0.2725,0.6175,0.0,0.725,0.3875,0.0,0.1525,0.34,0.0,0.35200319600821806,0.4306390600026895,0.5375232553108749,0.0,0.5110344900297826,0.2285415717107065,0.16463975826026955,0.5375232553108749,0.5110344900297826,0.2285415717107065,0.22588713996153034,0.35200319600821806,0.25458299236201937,-0.09999999999999998,-0.33749999999999997,0.11499999999999999,-0.415,0.0050000000000000044,-0.5375,0.0,0.0,-0.35250000000000004,-0.36999999999999994,1.3333333333333333,0,1,0,0,0,1,1,m,1.3333333333333333,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/m/color_12_0333 (5).png
