class,accuracy,samples
5,1.0,18
j,0.9943502824858758,531
z,0.9876796714579056,487
f,0.9798792756539235,994
h,0.9777347531461762,1033
g,0.9750479846449136,1042
b,0.971342383107089,663
l,0.9704524469067405,1083
i,0.9700413223140496,968
w,0.9646739130434783,736
y,0.9640852974186308,891
k,0.9592417061611375,1055
v,0.9568706118355065,997
x,0.9534090909090909,880
d,0.9533678756476683,965
1,0.9523809523809523,21
r,0.9507389162561576,1015
q,0.9498567335243553,698
4,0.9473684210526315,19
3,0.9473684210526315,19
7,0.9444444444444444,18
u,0.9434180138568129,866
c,0.9423963133640553,434
e,0.9386189258312021,782
8,0.9333333333333333,15
p,0.9321789321789322,693
o,0.927710843373494,747
s,0.9233490566037735,848
a,0.9023066485753053,737
9,0.8947368421052632,19
m,0.8914285714285715,350
n,0.8634259259259259,432
t,0.8019559902200489,409
2,0.7857142857142857,14
6,0.7857142857142857,14
0,0.6363636363636364,11
