,precision,recall,f1-score,support
0,0.7777777777777778,0.6363636363636364,0.7,11.0
1,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
2,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
3,1.0,0.9473684210526315,0.972972972972973,19.0
4,1.0,0.9473684210526315,0.972972972972973,19.0
5,0.9473684210526315,1.0,0.972972972972973,18.0
6,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
7,1.0,0.9444444444444444,0.9714285714285714,18.0
8,1.0,0.9333333333333333,0.9655172413793104,15.0
9,1.0,0.8947368421052632,0.9444444444444444,19.0
a,0.9159779614325069,0.9023066485753053,0.9090909090909091,737.0
b,0.9802130898021308,0.971342383107089,0.9757575757575757,663.0
c,0.9738095238095238,0.9423963133640553,0.9578454332552693,434.0
d,0.959332638164755,0.9533678756476683,0.9563409563409564,965.0
e,0.924433249370277,0.9386189258312021,0.9314720812182741,782.0
f,0.978894472361809,0.9798792756539235,0.9793866264454499,994.0
g,0.9648622981956315,0.9750479846449136,0.9699284009546539,1042.0
h,0.97678916827853,0.9777347531461762,0.9772617319787131,1033.0
i,0.9620901639344263,0.9700413223140496,0.9660493827160493,968.0
j,0.9777777777777777,0.9943502824858758,0.9859943977591037,531.0
k,0.9601518026565465,0.9592417061611375,0.959696538643907,1055.0
l,0.9677716390423573,0.9704524469067405,0.9691101890272015,1083.0
m,0.9176470588235294,0.8914285714285715,0.9043478260869565,350.0
n,0.8817966903073287,0.8634259259259259,0.8725146198830409,432.0
o,0.9203187250996016,0.927710843373494,0.924,747.0
p,0.930835734870317,0.9321789321789322,0.9315068493150684,693.0
q,0.9272727272727272,0.9498567335243553,0.9384288747346072,698.0
r,0.9378036929057337,0.9507389162561576,0.9442270058708415,1015.0
s,0.90625,0.9233490566037735,0.9147196261682243,848.0
t,0.82,0.8019559902200489,0.8108776266996292,409.0
u,0.9477958236658933,0.9434180138568129,0.9456018518518519,866.0
v,0.9616935483870968,0.9568706118355065,0.9592760180995475,997.0
w,0.984743411927878,0.9646739130434783,0.9746053534660261,736.0
x,0.9458850056369785,0.9534090909090909,0.9496321448783248,880.0
y,0.9706214689265537,0.9640852974186308,0.9673423423423423,891.0
z,0.9917525773195877,0.9876796714579056,0.9897119341563786,487.0
accuracy,0.9498634412797503,0.9498634412797503,0.9498634412797503,0.9498634412797503
macro avg,0.9415532092513609,0.9270273918897856,0.9338318201617278,20504.0
weighted avg,0.9498586763418768,0.9498634412797503,0.9498124020849991,20504.0
