class,accuracy,samples
5,1.0,18
1,1.0,21
j,0.992467043314501,531
f,0.9798792756539235,994
z,0.9671457905544147,487
g,0.963531669865643,1042
b,0.9622926093514329,663
l,0.961218836565097,1083
h,0.9564375605033882,1033
w,0.9538043478260869,736
3,0.9473684210526315,19
9,0.9473684210526315,19
4,0.9473684210526315,19
7,0.9444444444444444,18
y,0.9438832772166106,891
i,0.9431818181818182,968
d,0.9398963730569948,965
q,0.9383954154727794,698
8,0.9333333333333333,15
v,0.9297893681043129,997
x,0.9295454545454546,880
e,0.921994884910486,782
c,0.9193548387096774,434
p,0.9047619047619048,693
r,0.9044334975369458,1015
o,0.9036144578313253,747
u,0.8995381062355658,866
k,0.8900473933649289,1055
s,0.875,848
2,0.8571428571428571,14
6,0.8571428571428571,14
n,0.8541666666666666,432
a,0.8480325644504749,737
m,0.8285714285714286,350
t,0.7457212713936431,409
0,0.7272727272727273,11
