,precision,recall,f1-score,support
0,0.8,0.7272727272727273,0.7619047619047619,11.0
1,1.0,1.0,1.0,21.0
2,0.631578947368421,0.8571428571428571,0.7272727272727273,14.0
3,1.0,0.9473684210526315,0.972972972972973,19.0
4,1.0,0.9473684210526315,0.972972972972973,19.0
5,0.8571428571428571,1.0,0.9230769230769231,18.0
6,0.631578947368421,0.8571428571428571,0.7272727272727273,14.0
7,1.0,0.9444444444444444,0.9714285714285714,18.0
8,1.0,0.9333333333333333,0.9655172413793104,15.0
9,1.0,0.9473684210526315,0.972972972972973,19.0
a,0.9018759018759018,0.8480325644504749,0.8741258741258742,737.0
b,0.9770290964777948,0.9622926093514329,0.9696048632218845,663.0
c,0.9876237623762376,0.9193548387096774,0.9522673031026253,434.0
d,0.9577613516367476,0.9398963730569948,0.948744769874477,965.0
e,0.8739393939393939,0.921994884910486,0.8973242065961419,782.0
f,0.974,0.9798792756539235,0.9769307923771314,994.0
g,0.933953488372093,0.963531669865643,0.9485120453471895,1042.0
h,0.9657869012707723,0.9564375605033882,0.9610894941634242,1033.0
i,0.9441571871768356,0.9431818181818182,0.9436692506459948,968.0
j,0.96875,0.992467043314501,0.9804651162790697,531.0
k,0.9287833827893175,0.8900473933649289,0.9090029041626331,1055.0
l,0.9594470046082949,0.961218836565097,0.9603321033210332,1083.0
m,0.8950617283950617,0.8285714285714286,0.8605341246290801,350.0
n,0.8056768558951966,0.8541666666666666,0.8292134831460675,432.0
o,0.9012016021361816,0.9036144578313253,0.9024064171122995,747.0
p,0.9113372093023255,0.9047619047619048,0.9080376538740044,693.0
q,0.8698539176626826,0.9383954154727794,0.9028256374913852,698.0
r,0.888673765730881,0.9044334975369458,0.896484375,1015.0
s,0.8431818181818181,0.875,0.8587962962962963,848.0
t,0.7741116751269036,0.7457212713936431,0.7596513075965131,409.0
u,0.9240806642941874,0.8995381062355658,0.9116442363955529,866.0
v,0.9151036525172754,0.9297893681043129,0.9223880597014925,997.0
w,0.9818181818181818,0.9538043478260869,0.9676085458304617,736.0
x,0.9008810572687225,0.9295454545454546,0.9149888143176734,880.0
y,0.9756380510440835,0.9438832772166106,0.959498003422704,891.0
z,0.9771784232365145,0.9671457905544147,0.9721362229102167,487.0
accuracy,0.9242586812329302,0.9242586812329302,0.9242586812329302,0.9242586812329302
macro avg,0.9127001895836973,0.9171707593649894,0.9134353825609769,20504.0
weighted avg,0.9250878452813112,0.9242586812329302,0.9243752945135203,20504.0
