f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,label,confidence,file_path
0.8725,0.675,0.0,0.8725,0.675,0.0,0.7425,0.605,0.0,0.78,0.4825,0.0,0.7825,0.345,0.0,0.485,0.55,0.0,0.4975,0.5025,0.0,0.4975,0.455,0.0,0.47,0.48,0.0,0.755,0.22,0.0,0.505,0.3075,0.0,0.525,0.18,0.0,0.33,0.2875,0.0,0.365,0.17,0.0,0.1975,0.265,0.0,0.2375,0.1675,0.0,0.8725,0.675,0.0,0.7425,0.605,0.0,0.7425,0.605,0.0,0.78,0.4825,0.0,0.78,0.4825,0.0,0.34205262752974147,0.44724853269742554,0.6666802081958036,0.0,0.2135708313417355,0.34041335167704573,0.23802573390287024,0.6666802081958036,0.2135708313417355,0.34041335167704573,0.4561386850509393,0.34205262752974147,0.1375227253947507,-0.09000000000000008,-0.33000000000000007,-0.4025000000000001,-0.19500000000000006,-0.5425,-0.38750000000000007,0.0,0.0,-0.09250000000000003,-0.19250000000000006,1.1904761904761905,0,1,0,0,0,0,1,h,1.1904761904761905,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/h/color_7_0318 (4).png
0.5675,0.595,0.0,0.555,0.5875,0.0,0.4925,0.5875,0.0,0.4475,0.5875,0.0,0.555,0.4725,0.0,0.515,0.4825,0.0,0.4475,0.49,0.0,0.805,0.5125,0.0,0.3475,0.3125,0.0,0.5675,0.235,0.0,0.385,0.2125,0.0,0.2225,0.3075,0.0,0.2675,0.2025,0.0,0.125,0.3,0.0,0.1775,0.1975,0.0,0.5675,0.595,0.0,0.805,0.5125,0.0,0.805,0.5125,0.0,0.555,0.4725,0.0,0.555,0.4725,0.0,0.555,0.4725,0.0,0.1231361035602475,0.3580590035175767,0.4940204955262484,0.25142096173549255,0.1231361035602475,0.26202337681970295,0.13601470508735442,0.6204887186726283,0.25317977802344327,0.26202337681970295,0.3944061992413405,0.25317977802344327,0.0,-0.012499999999999956,-0.1225,-0.22000000000000003,-0.2825,-0.3,-0.39249999999999996,0.23750000000000004,-0.08250000000000002,-0.012499999999999956,-0.1225,1.2380952380952381,0,1,0,0,0,0,1,h,1.2380952380952381,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/h/color_7_0071 (3).png
0.5025,0.65,0.0,0.5025,0.65,0.0,0.445,0.51,0.0,0.595,0.4975,0.0,0.4775,0.42,0.0,0.6175,0.435,0.0,0.3675,0.35,0.0,0.5425,0.295,0.0,0.7025,0.3375,0.0,0.58,0.285,0.0,0.38,0.2775,0.0,0.42,0.2525,0.0,0.8425,0.3825,0.0,0.3825,0.1975,0.0,0.3825,0.1975,0.0,0.29,0.225,0.0,0.5175,0.1525,0.0,0.35,0.15,0.0,0.5025,0.65,0.0,0.3025,0.5575,0.0,0.3025,0.5575,0.0,0.23135470602518554,0.3710205519913958,0.43261559148971973,0.49772607928458007,0.22035482749420304,0.23964817963005688,0.14705441169852743,0.39815198103236915,0.45853026072441505,0.23964817963005688,0.36692131309042275,0.2704741207583453,0.22255617268456068,-0.024999999999999967,-0.23000000000000004,0.20000000000000007,-0.3125,0.3400000000000001,-0.2675,0.015000000000000013,-0.49750000000000005,-0.19999999999999996,-0.09250000000000003,1.380952380952381,0,1,0,0,0,0,1,n,1.380952380952381,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/n/color_13_0162 (3).png
0.575,0.8775,0.0,0.575,0.8775,0.0,0.6325,0.5225,0.0,0.51,0.505,0.0,0.79,0.54,0.0,0.45,0.4925,0.0,0.725,0.465,0.0,0.9325,0.6125,0.0,0.5725,0.4275,0.0,0.8975,0.5075,0.0,0.6625,0.375,0.0,0.845,0.4225,0.0,0.505,0.32,0.0,0.5475,0.215,0.0,0.6075,0.135,0.0,0.575,0.8775,0.0,0.7925,0.53,0.0,0.3925,0.8025,0.0,0.3925,0.8025,0.0,0.9325,0.6125,0.0,0.9325,0.6125,0.0,0.400164028868163,0.4500069443908616,0.561877433253908,0.4099542657419239,0.44500702241650075,0.24487241575971766,0.12693502274786103,0.35602843987524363,0.1625,0.24487241575971766,0.36003472054789387,0.010307764064044147,0.15988276955319478,0.21500000000000008,-0.3374999999999999,-0.0024999999999999467,-0.44999999999999996,-0.06999999999999995,-0.5574999999999999,0.21750000000000003,-0.3474999999999999,0.35750000000000004,-0.2649999999999999,1.2857142857142858,0,1,1,0,0,0,1,d,1.2857142857142858,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/d/color_3_0080 (4).png
0.5925,0.8725,0.0,0.5925,0.8725,0.0,0.6275,0.6175,0.0,0.6975,0.55,0.0,0.58,0.5225,0.0,0.5375,0.51,0.0,0.865,0.6075,0.0,0.6425,0.46,0.0,0.805,0.5125,0.0,0.37,0.505,0.0,0.75,0.4075,0.0,0.5125,0.3325,0.0,0.3825,0.335,0.0,0.5075,0.225,0.0,0.4275,0.2275,0.0,0.525,0.1475,0.0,0.4875,0.145,0.0,0.5925,0.8725,0.0,0.36,0.805,0.0,0.36,0.805,0.0,0.865,0.6075,0.0,0.3502231431530476,0.41803857477510387,0.5770669371918652,0.7350382643100971,0.3801068928604163,0.22522211259110425,0.4582712079107742,0.21708293346092414,0.5970029313160866,0.22522211259110425,0.2723279273229243,0.38866759576790033,0.2974054471592611,-0.012500000000000067,-0.3500000000000001,0.21250000000000002,-0.3600000000000001,-0.21000000000000002,-0.5375000000000001,-0.10500000000000004,-0.7275,0.27249999999999996,-0.265,1.3333333333333333,0,1,0,0,0,0,1,r,1.3333333333333333,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/r/color_17_0430 (4).png
0.7475,0.5525,0.0,0.7375,0.3675,0.0,0.6075,0.3,0.0,0.7475,0.5525,0.0,0.7475,0.5525,0.0,0.7625,0.4575,0.0,0.6525,0.4425,0.0,0.6275,0.4225,0.0,0.6075,0.4175,0.0,0.5925,0.4025,0.0,0.62,0.4425,0.0,0.6325,0.2775,0.0,0.6,0.2425,0.0,0.5725,0.2025,0.0,0.6825,0.3525,0.0,0.645,0.3875,0.0,0.625,0.37,0.0,0.6825,0.415,0.0,0.6025,0.3525,0.0,0.7275,0.3275,0.0,0.6175,0.175,0.0,0.0,0.19448650338776727,0.3433019807691182,0.21980104640333267,0.39925712266658436,0.19448650338776727,0.1751606405560336,0.12992786460186284,0.1951441774688653,0.19448650338776727,0.3433019807691182,0.21980104640333267,0.39925712266658436,0.0,0.0,-0.14,-0.135,-0.14750000000000008,-0.31,-0.12250000000000005,-0.1825,-0.13,-0.3775,0.9047619047619048,0,1,1,1,1,1,1,h,0.9047619047619048,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/h/H1513.jpg
0.6025,0.8875,0.0,0.7525,0.8125,0.0,0.71,0.6925,0.0,0.6025,0.8875,0.0,0.6025,0.8875,0.0,0.685,0.8675,0.0,0.6275,0.7475,0.0,0.6325,0.7175,0.0,0.6375,0.6725,0.0,0.7875,0.7725,0.0,0.7225,0.7425,0.0,0.745,0.71,0.0,0.705,0.7775,0.0,0.7575,0.6825,0.0,0.7425,0.745,0.0,0.6775,0.74,0.0,0.6675,0.7775,0.0,0.6975,0.6725,0.0,0.6875,0.72,0.0,0.8825,0.65,0.0,0.8825,0.65,0.0,0.0,0.21783020910791961,0.15035374953754888,0.12776932339180636,0.36715970639491463,0.21783020910791961,0.12482487732819927,0.03749999999999998,0.249962497187078,0.21783020910791961,0.15035374953754888,0.12776932339180636,0.36715970639491463,0.0,0.0,0.03499999999999992,-0.21499999999999997,0.10249999999999992,-0.10999999999999999,0.06499999999999995,-0.10999999999999999,0.2799999999999999,-0.23749999999999993,0.8571428571428571,0,1,1,1,1,1,1,z,0.8571428571428571,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/z/Z386.jpg
0.09,0.535,0.0,0.09,0.535,0.0,0.105,0.4425,0.0,0.125,0.345,0.0,0.3075,0.5125,0.0,0.03,0.1975,0.0,0.09,0.535,0.0,0.09,0.535,0.0,0.09,0.535,0.0,0.3075,0.5125,0.0,0.005,0.295,0.0,0.005,0.295,0.0,0.005,0.295,0.0,0.3075,0.5125,0.0,0.3075,0.5125,0.0,0.3075,0.5125,0.0,0.3075,0.5125,0.0,0.105,0.4425,0.0,0.03,0.1975,0.0,0.03,0.1975,0.0,0.03,0.1975,0.0,0.21866069605669877,0.0,0.25460754112948036,0.21866069605669877,0.3427918464607932,0.21866069605669877,0.25460754112948036,0.37257549570523285,0.41979905907469584,0.21866069605669877,0.37257549570523285,0.0,0.41979905907469584,0.2175,-0.022500000000000075,0.0,0.0,-0.08499999999999999,-0.24000000000000005,0.2175,-0.022500000000000075,-0.06,-0.3375,1.0,0,1,0,0,1,1,1,g,1.0,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/g/color_6_0527 (2).png
0.5175,0.7675,0.0,0.6875,0.6625,0.0,0.665,0.5875,0.0,0.6125,0.5375,0.0,0.5175,0.7675,0.0,0.6175,0.7325,0.0,0.4725,0.4525,0.0,0.4775,0.3975,0.0,0.4825,0.3475,0.0,0.4725,0.5475,0.0,0.5825,0.4075,0.0,0.575,0.3325,0.0,0.565,0.2725,0.0,0.6325,0.545,0.0,0.5275,0.4125,0.0,0.5275,0.3425,0.0,0.5225,0.2825,0.0,0.5275,0.53,0.0,0.6325,0.3675,0.0,0.6225,0.3075,0.0,0.6225,0.3075,0.0,0.0,0.4214558102577303,0.49727381793132835,0.485025772511111,0.47183153773354314,0.4214558102577303,0.11149551560488874,0.04366062299143242,0.1030776406404416,0.4214558102577303,0.49727381793132835,0.485025772511111,0.47183153773354314,0.0,0.0,-0.034999999999999976,-0.42,0.04749999999999999,-0.49499999999999994,0.0050000000000000044,-0.485,0.1050000000000001,-0.45999999999999996,0.9523809523809523,0,1,1,1,1,1,1,b,0.9523809523809523,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/b/B1366.jpg
0.5075,0.595,0.0,0.615,0.5525,0.0,0.6925,0.5025,0.0,0.76,0.475,0.0,0.5075,0.595,0.0,0.4125,0.585,0.0,0.3675,0.4675,0.0,0.3675,0.4175,0.0,0.3775,0.3575,0.0,0.5925,0.4225,0.0,0.47,0.4125,0.0,0.505,0.3275,0.0,0.4525,0.475,0.0,0.5225,0.3975,0.0,0.4325,0.3475,0.0,0.4075,0.4275,0.0,0.4075,0.4875,0.0,0.3925,0.3925,0.0,0.5925,0.3125,0.0,0.5925,0.3125,0.0,0.5925,0.3125,0.0,0.0,0.27075126961844515,0.13200378782444083,0.1468204686002602,0.29501059303014865,0.27075126961844515,0.13939601859450648,0.04670385423067355,0.2546566315649369,0.27075126961844515,0.13200378782444083,0.1468204686002602,0.29501059303014865,0.0,0.0,-0.12999999999999995,-0.2375,-0.05499999999999994,-0.12,-0.09999999999999998,-0.10749999999999998,0.08500000000000008,-0.2825,0.9047619047619048,0,1,1,1,1,1,1,l,0.9047619047619048,/Users/wuhaodong/SFhack/processed_combine_asl_dataset/l/L645.jpg
