letter,pos_samples,neg_samples,pos_accuracy,neg_rejection_rate,pos_conf_mean,pos_conf_std,pos_conf_min,pos_conf_max,neg_conf_mean,neg_conf_std,neg_conf_min,neg_conf_max,optimal_threshold,best_f1
a,142,133,0.9788732394366197,0.6466165413533834,0.8702123,0.12721331,0.268947,0.9721662,0.52825034,0.27359384,0.085691124,0.9664943,0.6500000000000001,0.9361702127659575
b,66,70,0.9848484848484849,0.6857142857142857,0.8834225,0.09926804,0.31102124,0.946588,0.50416917,0.24437259,0.10227966,0.954884,0.7000000000000002,0.9618320610687022
c,274,227,0.9927007299270073,0.8149779735682819,0.92590296,0.1339658,0.10793822,0.97711235,0.60102916,0.29725543,0.10403479,0.97577775,0.40000000000000013,0.9657657657657659
d,242,145,0.987603305785124,0.8275862068965517,0.9242106,0.12707886,0.16965708,0.97641706,0.561995,0.3004863,0.08681647,0.97587466,0.15000000000000002,0.9484126984126985
e,237,231,0.9957805907172996,0.6883116883116883,0.93886775,0.10582631,0.13398531,0.97955245,0.56018895,0.2775808,0.09117353,0.9700786,0.9000000000000002,0.9519650655021834
f,88,42,1.0,0.8333333333333334,0.9209619,0.066271,0.5964221,0.9686074,0.63862604,0.27026385,0.14230607,0.97653246,0.5500000000000002,1.0
g,90,73,0.9666666666666667,0.7397260273972602,0.8512057,0.15157318,0.23611543,0.96050435,0.59728414,0.27615225,0.09878745,0.9736559,0.7500000000000002,0.9204545454545455
h,78,68,1.0,0.6470588235294118,0.91351277,0.0912744,0.50937074,0.97171944,0.4974114,0.29733753,0.06559413,0.97105306,0.7500000000000002,0.9487179487179487
i,91,110,1.0,1.0,0.9314285,0.045436352,0.59664965,0.9598654,0.59070647,0.25305885,0.12195709,0.973307,0.1,1.0
k,244,246,0.9877049180327869,0.9186991869918699,0.9475093,0.10037391,0.123621136,0.97584176,0.6575599,0.2721294,0.086189985,0.97317886,0.6500000000000001,0.9815195071868583
l,123,91,0.991869918699187,0.4945054945054945,0.93190104,0.09479397,0.2015395,0.9677769,0.35393584,0.16515638,0.10443191,0.9625667,0.40000000000000013,0.983739837398374
m,97,128,1.0,0.9296875,0.92760956,0.052577212,0.67946213,0.972193,0.69981277,0.25908822,0.11645022,0.9754067,0.6500000000000001,1.0
n,105,99,1.0,1.0,0.92638767,0.084591694,0.5009839,0.9719891,0.7794715,0.26233408,0.09343187,0.9784088,0.1,1.0
o,90,112,0.9888888888888889,0.9821428571428571,0.89659625,0.10497613,0.44066045,0.97655827,0.5883284,0.30421627,0.12160279,0.9749623,0.1,0.9834254143646408
p,301,181,0.9900332225913622,0.3867403314917127,0.9444197,0.09079112,0.32859248,0.97820777,0.6957973,0.25131002,0.06502306,0.97697043,0.9000000000000002,0.9223140495867768
q,90,57,1.0,0.5964912280701754,0.921137,0.059806578,0.6407214,0.9610873,0.54191065,0.20779668,0.0895114,0.94624174,0.7000000000000002,0.9417989417989419
r,167,150,0.9880239520958084,0.8666666666666667,0.9054134,0.10642559,0.14323346,0.9790785,0.57990664,0.28771248,0.10398674,0.96978486,0.45000000000000007,0.9939759036144578
s,109,79,1.0,0.9113924050632911,0.9286563,0.0896667,0.347878,0.9718919,0.69958305,0.22900368,0.06712453,0.96652716,0.7000000000000002,0.9861751152073732
t,322,221,1.0,1.0,0.9380792,0.07757026,0.13552706,0.9800251,0.67778337,0.27089176,0.117245466,0.96992916,0.1,1.0
u,263,264,0.9961977186311787,0.9242424242424242,0.9231498,0.09855188,0.22318797,0.9797188,0.73041743,0.28553534,0.11235817,0.9767308,0.5000000000000001,0.9923371647509579
v,271,258,1.0,0.9844961240310077,0.9431797,0.07725018,0.19095549,0.9766005,0.7163916,0.27345318,0.12592232,0.97341883,0.5500000000000002,0.9981515711645101
w,127,101,1.0,0.9801980198019802,0.93436855,0.049092796,0.7037963,0.9687127,0.6901505,0.2652689,0.14300227,0.9748555,0.7000000000000002,1.0
x,290,246,1.0,0.4959349593495935,0.9449049,0.0927183,0.28533104,0.97767067,0.586524,0.23946065,0.11312028,0.9748297,0.9000000000000002,0.947935368043088
y,243,147,1.0,0.9115646258503401,0.9528723,0.03308007,0.7157386,0.9713883,0.6336967,0.2445222,0.10978818,0.96715355,0.5500000000000002,1.0
